"","venue","show_date","artist","artist_id","song","song_id","track_uri"
"1","Park West",2023-10-04,"Wrabel","7r2uG6BlFXKcwmh9ItqlII","Thinking 'Bout Love","0YHH3qK8Ntqxcc2GFkRrPh","spotify:track:0YHH3qK8Ntqxcc2GFkRrPh"
"2","Park West",2023-10-04,"Wrabel","7r2uG6BlFXKcwmh9ItqlII","The Village","6epvwUINain4iSHCTWA0sj","spotify:track:6epvwUINain4iSHCTWA0sj"
"3","Park West",2023-10-04,"Wrabel","7r2uG6BlFXKcwmh9ItqlII","wish you well","1Y3Lv6ul3BeSQltSAfwZdo","spotify:track:1Y3Lv6ul3BeSQltSAfwZdo"
"4","Park West",2023-10-04,"Wrabel","7r2uG6BlFXKcwmh9ItqlII","nothing but the love","6nUwq6jL9AiwzsRDxI0AkN","spotify:track:6nUwq6jL9AiwzsRDxI0AkN"
"5","Park West",2023-10-04,"Wrabel","7r2uG6BlFXKcwmh9ItqlII","happier","5Imv22PbpWHLDlcetv2EUd","spotify:track:5Imv22PbpWHLDlcetv2EUd"
"6","The Riviera Theatre",2023-10-04,"Sammy Rae & The Friends","3lFDsTyYNPQc8WzJExnQWn","Talk It Up","7FQCZ5i5bmQ76LoGHyVcX0","spotify:track:7FQCZ5i5bmQ76LoGHyVcX0"
"7","The Riviera Theatre",2023-10-04,"Sammy Rae & The Friends","3lFDsTyYNPQc8WzJExnQWn","Kick It to Me","6QZbDUZEgkwaVWROtWzjQ0","spotify:track:6QZbDUZEgkwaVWROtWzjQ0"
"8","The Riviera Theatre",2023-10-04,"Sammy Rae & The Friends","3lFDsTyYNPQc8WzJExnQWn","Good Life","6sOK9LnvTTj4E2ZGzhKTQo","spotify:track:6sOK9LnvTTj4E2ZGzhKTQo"
"9","The Riviera Theatre",2023-10-04,"Sammy Rae & The Friends","3lFDsTyYNPQc8WzJExnQWn","Jackie Onassis","7GPBA8xjMJyN6SjoKd4O9E","spotify:track:7GPBA8xjMJyN6SjoKd4O9E"
"10","The Riviera Theatre",2023-10-04,"Sammy Rae & The Friends","3lFDsTyYNPQc8WzJExnQWn","The Feeling","0dmCos7GHCr5PRKp5LNGH7","spotify:track:0dmCos7GHCr5PRKp5LNGH7"
"11","The Riviera Theatre",2023-10-04,"Kaina","4mr6qfsNoLaa7i7s8rzby2","luv letters","6tMbqeVfXgl2xVnEMThVEa","spotify:track:6tMbqeVfXgl2xVnEMThVEa"
"12","Metro",2023-10-04,"Hojean","0ENnerFBtqPaVUcHadXU2w","Comin' Through","51Y0kkClSkknR2V0rvbOni","spotify:track:51Y0kkClSkknR2V0rvbOni"
"13","Metro",2023-10-04,"Hojean","0ENnerFBtqPaVUcHadXU2w","Over 85","2tHiZQ0McWbtuWaax3dh4P","spotify:track:2tHiZQ0McWbtuWaax3dh4P"
"14","Metro",2023-10-04,"Hojean","0ENnerFBtqPaVUcHadXU2w","Hold Me","3EnsM1Y8cEb6OLDloYhss6","spotify:track:3EnsM1Y8cEb6OLDloYhss6"
"15","Metro",2023-10-04,"Hojean","0ENnerFBtqPaVUcHadXU2w","Destiny","6mo3ujTtVxsN7ZoIdIE5Cc","spotify:track:6mo3ujTtVxsN7ZoIdIE5Cc"
"16","Metro",2023-10-04,"Hojean","0ENnerFBtqPaVUcHadXU2w","You Ain't Gotta","0N6riUJzJk3qjFRD54jNbS","spotify:track:0N6riUJzJk3qjFRD54jNbS"
"17","Metro",2023-10-04,"Kevin Holliday","30VidDqHTbEp8U7CBe1mX0","Regrets","2Qbx0BOqQbMLwwrAb50rl0","spotify:track:2Qbx0BOqQbMLwwrAb50rl0"
"18","Metro",2023-10-04,"Kevin Holliday","30VidDqHTbEp8U7CBe1mX0","Tennis Courts","79SHyhyGcYf47aPKA4RnVx","spotify:track:79SHyhyGcYf47aPKA4RnVx"
"19","Metro",2023-10-04,"Kevin Holliday","30VidDqHTbEp8U7CBe1mX0","2WRONGS","74pFeoWFQR9wshmeINhNNL","spotify:track:74pFeoWFQR9wshmeINhNNL"
"20","Metro",2023-10-04,"Kevin Holliday","30VidDqHTbEp8U7CBe1mX0","Expensive Taste","2GZ7hpra0vcDNXLVQiJsMN","spotify:track:2GZ7hpra0vcDNXLVQiJsMN"
"21","Metro",2023-10-04,"Kevin Holliday","30VidDqHTbEp8U7CBe1mX0","UH-HUH","5i3jB0GTZlAg077dWQIG9e","spotify:track:5i3jB0GTZlAg077dWQIG9e"
"22","House of Blues",2023-10-04,"Chappell Roan","7GlBOeep6PqTfFi59PTUUN","Red Wine Supernova","7FOgcfdz9Nx5V9lCNXdBYv","spotify:track:7FOgcfdz9Nx5V9lCNXdBYv"
"23","House of Blues",2023-10-04,"Chappell Roan","7GlBOeep6PqTfFi59PTUUN","HOT TO GO!","4xdBrk0nFZaP54vvZj0yx7","spotify:track:4xdBrk0nFZaP54vvZj0yx7"
"24","House of Blues",2023-10-04,"Chappell Roan","7GlBOeep6PqTfFi59PTUUN","Super Graphic Ultra Modern Girl","1rNSCrsOoWyhKH4g47mehU","spotify:track:1rNSCrsOoWyhKH4g47mehU"
"25","House of Blues",2023-10-04,"Chappell Roan","7GlBOeep6PqTfFi59PTUUN","Casual","3WSOUb3U7tqURbBSgZTrZX","spotify:track:3WSOUb3U7tqURbBSgZTrZX"
"26","House of Blues",2023-10-04,"Chappell Roan","7GlBOeep6PqTfFi59PTUUN","My Kink Is Karma","32fSZSbxeVoiZShMQKLc6Z","spotify:track:32fSZSbxeVoiZShMQKLc6Z"
