"","venue","show_date","Name","Spotify"
"1","The Salt Shed",2023-10-03,"LP","0J7U24vlOOIeMpuaO6Q85A"
"2","The Riviera Theatre",2023-10-03,"Slowdive","72X6FHxaShda0XeQw3vbeF"
"3","The Riviera Theatre",2023-10-03,"Drab Majesty","2CSEKlTT9empsZ8vZWsrKO"
"4","Metro",2023-10-03,"Matt and Kim","4MSMDY0ClgWqXApU53I1L1"
"5","House of Blues",2023-10-03,"Todrick Hall","0gBvuNzrFCOVaiyKexoYMH"
"6","Schubas",2023-10-03,"Boyscott","3WPt7OfKDirWGEDH9kHahw"
"7","Schubas",2023-10-03,"Nova One","23AoRz8asmZEYrUd1GpRiS"
"8","Bottom Lounge",2023-10-03,"Frankie and the Witch Fingers","5UdQDFQ3wgUPuL5kiL7KqU"
"9","Park West",2023-10-04,"Wrabel","7r2uG6BlFXKcwmh9ItqlII"
"10","The Riviera Theatre",2023-10-04,"Sammy Rae & The Friends","3lFDsTyYNPQc8WzJExnQWn"
"11","The Riviera Theatre",2023-10-04,"Kaina","4mr6qfsNoLaa7i7s8rzby2"
"12","Metro",2023-10-04,"Hojean","0ENnerFBtqPaVUcHadXU2w"
"13","Metro",2023-10-04,"Kevin Holliday","30VidDqHTbEp8U7CBe1mX0"
"14","House of Blues",2023-10-04,"Chappell Roan","7GlBOeep6PqTfFi59PTUUN"
"15","Chop Shop",2023-10-04,"O.N.E The Duo","4sIPNUYiz7FcZBx1oHuMHe"
"16","The Vic Theatre",2023-10-05,"Jessie Ware","5Mq7iqCWBzofK39FBqblNc"
"17","The Vic Theatre",2023-10-05,"Ty Sunderland","31JqNN8V3p95rXgJ7WjeOI"
"18","The Riviera Theatre",2023-10-05,"Violent Femmes","0rpMdBzQXf7aYRnu5fDBJy"
"19","Concord Music Hall",2023-10-05,"Thrice","3NChzMpu9exTlNPiqUQ2DE"
"20","Concord Music Hall",2023-10-05,"’68","51EEn3UICoilrrWVZFz30C"
"21","Bottom Lounge",2023-10-05,"Sammie","4p07QU02SrLsaORo25h2Lg"
"22","Metro",2023-10-05,"Tangerine Dream","1BGN1IdyiSR0ZYrkoKNchl"
"23","Lincoln Hall",2023-10-05,"Krooked Kings","6PbMwLmbus5mZl93tX1lXE"
"24","Schubas",2023-10-05,"Bre Kennedy","61oqMHI8QuFrE5Qt91uJAj"
"25","Schubas",2023-10-05,"Sarah Walk","4RX6VSUokwl9GVujjrnR7u"
"26","House of Blues",2023-10-06,"Adekunle Gold","2IK173RXLiCSQ8fhDlAb3s"
"27","House of Blues",2023-10-06,"Nonso Amadi","6pOz4M7D8ENqfLSFvciEuV"
"28","Concord Music Hall",2023-10-06,"Kordhell","2W6WP4pHQTFlbr2z9S4n54"
"29","Bottom Lounge",2023-10-06,"Lauren Sanderson","06vRrrjT3DBRkhBlXoBdYj"
"30","Bottom Lounge",2023-10-06,"poutyface","0H44O4IYqpTOGx4c5nV37f"
"31","Metro",2023-10-06,"KennyHoopla","5ObBtv5VunwwhQaXXnUrsM"
"32","Park West",2023-10-06,"Ambar Lucid","4nzV0hThyodYzrwksnS86G"
"33","Chop Shop",2023-10-06,"Worriers","55Z2PiiE80rBOkkL1wyNPD"
"34","Byline Bank Aragon Ballroom",2023-10-07,"Eladio Carrión","5XJDexmWFLWOkjOEjOVX3e"
"35","The Vic Theatre",2023-10-07,"Little Dragon","6Tyzp9KzpiZ04DABQoedps"
"36","The Vic Theatre",2023-10-07,"April + Vista","5XNCS8lVEpHHbaHv0EabAj"
"37","Radius",2023-10-07,"Ben Böhmer","5tDjiBYUsTqzd0RkTZxK7u"
"38","Radius",2023-10-07,"Barry Can’t Swim","0vTVU0KH0CVzijsoKGsTPl"
"39","Radius",2023-10-07,"QRTR","2THXZEfcOePL7bRFl2DUwj"
