"","name","popularity","followers.total","id","external_urls.spotify"
"1","Kaina",0,30,"4mr6qfsNoLaa7i7s8rzby2","https://open.spotify.com/artist/4mr6qfsNoLaa7i7s8rzby2"
"2","Vacations",71,716282,"0U7iI0Dk4Ojvi17nZboNO4","https://open.spotify.com/artist/0U7iI0Dk4Ojvi17nZboNO4"
"3","Anxious",39,26808,"4uOeSBqJoBz5OrxrsrTboH","https://open.spotify.com/artist/4uOeSBqJoBz5OrxrsrTboH"
"4","Keith Secola",25,4060,"0aum4YUifChcnJyUmzGeOd","https://open.spotify.com/artist/0aum4YUifChcnJyUmzGeOd"
"5","Polaris",62,254999,"0v2e0oznnTaIXKLGKHphfX","https://open.spotify.com/artist/0v2e0oznnTaIXKLGKHphfX"
"6","KANKAN",60,281155,"7tFehEdzjjoeiwUExR89qs","https://open.spotify.com/artist/7tFehEdzjjoeiwUExR89qs"
"7","Suzi Shelton",18,506,"6KVBsjr33qLBA2CnlnRYEf","https://open.spotify.com/artist/6KVBsjr33qLBA2CnlnRYEf"
"8","Little Miss Ann",22,656,"0G7JrLPvqOjHcv891aUiUb","https://open.spotify.com/artist/0G7JrLPvqOjHcv891aUiUb"
"9","Safekeeping",0,17,"30D8Xvy4YshcXHnROwbnCv","https://open.spotify.com/artist/30D8Xvy4YshcXHnROwbnCv"
"10","N8NOFACE",39,22939,"0HlRzJcjY69mM3nW2Xvrzi","https://open.spotify.com/artist/0HlRzJcjY69mM3nW2Xvrzi"
"11","Tunic",13,4367,"51M2l9r2xX31tNp0SA4WZf","https://open.spotify.com/artist/51M2l9r2xX31tNp0SA4WZf"
"12","LOLO",46,33655,"0H0OkFxp022WOyKlt3HmlA","https://open.spotify.com/artist/0H0OkFxp022WOyKlt3HmlA"
"13","Cusp",12,1033,"07nDyiBj44NtwrqJJ54Or8","https://open.spotify.com/artist/07nDyiBj44NtwrqJJ54Or8"
"14","Dusk",9,1154,"00xKJW1NWATsoC4rvEjMYX","https://open.spotify.com/artist/00xKJW1NWATsoC4rvEjMYX"
"15","Pelican",31,108558,"0Gq06EJlfPumvCdMsnkJFp","https://open.spotify.com/artist/0Gq06EJlfPumvCdMsnkJFp"
"16","Mo Welch",0,39,"6GrwDXiqxmRk4pow2KfWR3","https://open.spotify.com/artist/6GrwDXiqxmRk4pow2KfWR3"
"17","Knox",55,65334,"61S5H9Lxn1PDUvu1TV0kCX","https://open.spotify.com/artist/61S5H9Lxn1PDUvu1TV0kCX"
"18","Dearly Somber",26,5741,"2zpjCn1057VSMxzN6JHclH","https://open.spotify.com/artist/2zpjCn1057VSMxzN6JHclH"
"19","Rocket",11,1131,"6TMJgSdBIPPtQJbAB8yPpO","https://open.spotify.com/artist/6TMJgSdBIPPtQJbAB8yPpO"
"20","Ikky",74,44332,"3nqS8jzqmsPKFJTp0BOIel","https://open.spotify.com/artist/3nqS8jzqmsPKFJTp0BOIel"
"21","MEOWBOYS",15,420,"33Jz1r2Co8ANxW2w6GuGbf","https://open.spotify.com/artist/33Jz1r2Co8ANxW2w6GuGbf"
"22","Pedro Capó",68,1678441,"4QVBYiagIaa6ZGSPMbybpy","https://open.spotify.com/artist/4QVBYiagIaa6ZGSPMbybpy"
"23","Edgehill",28,7879,"0lzGqksyREdfUObGjLYLcT","https://open.spotify.com/artist/0lzGqksyREdfUObGjLYLcT"
