"","artist_name","artist_id","duration_ms","id","name","popularity"
"1","LP","0J7U24vlOOIeMpuaO6Q85A",268105,"2LIh4uzqq9cXMPzzmcToHl","Lost on You",76
"2","LP","0J7U24vlOOIeMpuaO6Q85A",237500,"7ohDUXs6SsU3XjTI9pcKTS","When We're High",62
"3","LP","0J7U24vlOOIeMpuaO6Q85A",244945,"2YawaiNvwx5dQq41F24iqJ","Other People",58
"4","LP","0J7U24vlOOIeMpuaO6Q85A",223426,"5AOqxn4l8BHO0or40XxCuh","Girls Go Wild",59
"5","LP","0J7U24vlOOIeMpuaO6Q85A",218644,"7yEdqN44nhoAUco674ChDg","Tightrope",56
"6","Slowdive","72X6FHxaShda0XeQw3vbeF",285906,"0oxYB9GoOIDrdzniNdKC44","When the Sun Hits",70
"7","Slowdive","72X6FHxaShda0XeQw3vbeF",237434,"7LuPjGUfJqxuW14W4gMrU2","kisses",62
"8","Slowdive","72X6FHxaShda0XeQw3vbeF",230986,"33HRECrmuelZxOpid6XTNX","Alison",63
"9","Slowdive","72X6FHxaShda0XeQw3vbeF",273492,"2ceUzieIOIwYKA9zOiWkto","alife",62
"10","Slowdive","72X6FHxaShda0XeQw3vbeF",347681,"54WY673q0m0Keh3VH92Fz6","shanty",61
"11","Drab Majesty","2CSEKlTT9empsZ8vZWsrKO",326545,"2JDYNDcTJVpkuqKiJrIghn","Dot in the Sky",45
"12","Drab Majesty","2CSEKlTT9empsZ8vZWsrKO",247076,"25rY3GbeeHIBRwyouz9jZT","Too Soon to Tell",43
"13","Drab Majesty","2CSEKlTT9empsZ8vZWsrKO",325819,"5Cj1UNdBWSuDyFjF19mLa4","Cold Souls",42
"14","Drab Majesty","2CSEKlTT9empsZ8vZWsrKO",235760,"4WJDGPjU9iHEBNeJ2RStKA","Oxytocin",42
"15","Drab Majesty","2CSEKlTT9empsZ8vZWsrKO",306933,"7j3KGtoP432CcQLA9zLrAo","Ellipsis",40
"16","Matt and Kim","4MSMDY0ClgWqXApU53I1L1",171333,"57i3M29DWoo7RDk0Tf0LZG","Daylight",68
"17","Matt and Kim","4MSMDY0ClgWqXApU53I1L1",210746,"2PlP2rRrgSz8lC7MpH3e4e","Let’s Go",52
"18","Matt and Kim","4MSMDY0ClgWqXApU53I1L1",209666,"0ABcouSb4Fk8XbbEH1i0Ek","Good Ol' Fashion Nightmare",45
"19","Matt and Kim","4MSMDY0ClgWqXApU53I1L1",133264,"7EiEh5EQ0gGe6gJYDOd00p","Come Together Now",45
"20","Matt and Kim","4MSMDY0ClgWqXApU53I1L1",212560,"7vLeZPIeblZLz04hLRRAES","Cameras",43
"21","Todrick Hall","0gBvuNzrFCOVaiyKexoYMH",236190,"3gWIY6WqA34ZRy8QVjTq5v","Nails, Hair, Hips, Heels",63
"22","Todrick Hall","0gBvuNzrFCOVaiyKexoYMH",175768,"2ErZ6Dr9K8kvdTlXSGtqBb","I Like Boys",55
"23","Todrick Hall","0gBvuNzrFCOVaiyKexoYMH",176247,"1nwsqIhMaK6LAlSjhqt02x","Attention",53
"24","Todrick Hall","0gBvuNzrFCOVaiyKexoYMH",194666,"3t4pBXpBnhkIj9ErbTg9pJ","BOTH",52
"25","Todrick Hall","0gBvuNzrFCOVaiyKexoYMH",218371,"7Ch9AUCVekPV3QSaEIA6qH","Dem Beats",51
"26","Boyscott","3WPt7OfKDirWGEDH9kHahw",147939,"3Q8nl0khWJzLiNSbj7pshd","Killer Whale",60
"27","Boyscott","3WPt7OfKDirWGEDH9kHahw",192542,"4r6nfH8MlWFLGXRpaNmfcv","Nova Scotia 500",60
"28","Boyscott","3WPt7OfKDirWGEDH9kHahw",189983,"3CsVdOuX9Yfsum39CGL5Fu","Sleepwalk",48
"29","Boyscott","3WPt7OfKDirWGEDH9kHahw",194529,"1X89ulW261tmeazLw7g88x","Embarrassingly Enough",44
"30","Boyscott","3WPt7OfKDirWGEDH9kHahw",246966,"0zHe6V49MHIFQZrNxDOjam","Blonde Blood",43
"31","NOVA ONE","23AoRz8asmZEYrUd1GpRiS",100147,"36mek4GiIhR9lmWGh8EBS5","feeling ugly",47
"32","NOVA ONE","23AoRz8asmZEYrUd1GpRiS",152134,"3ty1Tcud4DYRWZoYQTYx8D","where you are",31
